id;date;age;gender;failedinstructions;mmindexp;numgamesplayed;timelimit;codejar;entropy;jarname;numguesses;truncguesses;expguesses;efficiency;rttotal;gamesuccessproportion;truecode;guesses;feedback_smiley;feedback_neutral;rt;gamesuccess
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[5;5;5;6;6;5]";2,579434003;HiEnt;4;4;6,2;2,2;64990;0,4;"[1;6;6]";"[[1;2;3];[1;4;5];[1;6;1];[1;6;6]]";"[1;1;2;3]";"[0;0;0;0]";"[5487;11208;19672;28623]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[1;1;1;1;27;1]";0,98806367;MinEnt;12;12;2,9;-9,1;978983;0,5;"[5;5;5]";"[[1;6;4];[5;2;5];[5;2;3];[5;2;2];[5;2;5];[5;2;6];[5;2;1];[5;5;2];[5;5;2];[5;5;3];[5;5;4];[5;5;5]]";"[0;2;1;1;2;1;1;2;2;2;2;3]";"[0;0;0;0;0;0;0;0;0;0;0;0]";"[13144;21768;31368;49719;62798;80217;91081;103960;113960;127087;138327;145554]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[4;4;1;1;1;21]";1,617541691;MedLoEnt;32;20;4,8;-15,2;4216247;0,6;"[6;2;6]";"[[1;1;1];[1;2;3];[1;4;5];[1;5;6];[1;6;3];[3;1;3];[1;6;6];[1;1;6];[1;2;6];[1;2;4];[1;2;5];[1;3;3];[1;2;1];[1;2;6];[1;6;2];[1;2;6];[2;6;1];[2;1;6];[2;1;2];[1;2;6];[1;2;3];[1;2;4];[1;2;5];[1;1;6];[1;6;2];[6;1;2];[6;2;1];[6;2;2];[6;2;3];[6;2;4];[6;2;5];[6;2;6]]";"[0;1;0;1;0;0;1;1;2;1;1;0;1;2;0;2;0;1;0;2;1;1;1;1;0;1;2;2;2;2;2;3]";"[0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;2;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0]";"[3962;7202;15753;22657;32617;40265;52128;59798;70334;76062;86406;94558;102038;110933;116238;126846;137503;144254;159773;167100;173717;178682;190233;196538;202794;210123;217177;229696;237181;242957;251741;258981]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[5;5;1;5;1;15]";2,080241239;MedHiEnt;17;17;5,2;-11,8;1274622;0,7;"[6;6;1]";"[[1;3;2];[1;4;5];[2;1;6];[1;1;2];[1;2;4];[2;3;1];[2;6;1];[2;6;2];[2;6;3];[1;2;2];[2;6;6];[2;2;6];[2;4;6];[2;2;2];[6;6;2];[6;6;6];[6;6;1]]";"[0;0;0;0;0;1;2;1;1;0;1;0;0;0;2;2;3]";"[1;1;2;1;1;0;0;0;0;1;1;1;1;0;0;0;0]";"[7561;15080;22208;34497;43577;51128;58625;66744;73641;78656;93991;102234;111042;116570;124482;133417;141169]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[1;1;27;1;1;1]";0,98806367;MinEnt;12;12;2,9;-9,1;518831;0,8;"[3;3;3]";"[[1;2;3];[1;4;5];[1;5;6];[2;1;1];[1;5;6];[6;1;2];[3;3;4];[3;3;1];[3;3;2];[3;3;5];[3;3;6];[3;3;3]]";"[1;0;0;0;0;0;2;2;2;2;2;3]";"[0;0;0;0;0;0;0;0;0;0;0;0]";"[6337;12960;18882;22010;30130;41762;49177;56962;61929;67322;73377;77983]";[1]
emap074;2018-03-09T11:56:48.864Z;19;2;2;1;-99;-1;"[5;6;5;6;5;5]";2,579434003;HiEnt;17;17;6,2;-10,8;1600277;0,9;"[3;3;3]";"[[1;2;3];[1;4;5];[1;3;6];[1;5;1];[2;1;3];[2;2;5];[2;3;2];[2;2;2];[2;6;2];[1;3;2];[1;2;1];[1;2;3];[3;2;1];[3;1;3];[3;1;2];[3;1;1];[3;3;3]]";"[1;0;1;0;1;0;1;0;0;1;0;1;1;2;1;1;3]";"[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0]";"[4305;9905;15377;31113;36144;72005;91669;98612;109508;119916;125687;129055;134752;140408;148528;164502;168791]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[1;1;1;4;21;4]";1,617541691;MedLoEnt;8;8;4,8;-3,2;2384923;0,058823529;"[1;5;5]";"[[5;1;6];[5;1;4];[5;1;3];[5;1;2];[5;1;1];[5;1;5];[5;5;1];[1;5;5]]";"[0;0;0;0;0;1;1;3]";"[2;2;2;2;2;2;2;0]";"[248953;263079;273878;283205;292549;303429;313053;406777]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[1;27;1;1;1;1]";0,98806367;MinEnt;4;4;2,9;-1,1;206326;0,117647059;"[2;2;2]";"[[1;2;3];[1;4;5];[2;3;6];[2;2;2]]";"[1;0;1;3]";"[0;0;0;0]";"[8481;50037;68948;78860]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[1;5;5;15;1;5]";2,080241239;MedHiEnt;6;6;5,2;-0,8;206006;0,176470588;"[6;4;4]";"[[1;2;3];[4;5;6];[4;4;4];[4;4;5];[4;6;4];[6;4;4]]";"[0;0;2;1;1;3]";"[0;2;0;1;2;0]";"[7409;18185;27136;38520;51502;63254]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[1;1;27;1;1;1]";0,98806367;MinEnt;7;7;2,9;-4,1;241544;0,235294118;"[3;2;3]";"[[1;2;3];[1;2;1];[2;2;3];[4;2;3];[5;2;3];[6;2;3];[3;2;3]]";"[2;1;2;2;2;2;3]";"[0;0;0;0;0;0;0]";"[7400;12201;19768;39137;45800;53879;63359]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[1;5;5;1;15;5]";2,080241239;MedHiEnt;7;7;5,2;-1,8;238006;0,294117647;"[6;5;2]";"[[1;2;3];[1;1;1];[2;2;2];[2;4;5];[2;4;4];[5;2;6];[6;5;2]]";"[0;0;1;0;0;0;3]";"[1;0;0;2;1;3;0]";"[6231;9744;13376;30545;37752;56159;84199]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[6;5;6;5;5;5]";2,579434003;HiEnt;6;6;6,2;0,2;132113;0,352941176;"[4;3;5]";"[[1;2;3];[2;2;2];[1;1;1];[3;4;5];[3;5;4];[4;3;5]]";"[0;0;0;1;0;3]";"[1;0;0;2;3;0]";"[6640;10297;12784;22041;32816;47535]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[1;1;1;1;27;1]";0,98806367;MinEnt;4;4;2,9;-1,1;242549;0,411764706;"[5;5;3]";"[[1;2;3];[2;2;2];[3;3;3];[5;5;3]]";"[1;0;1;3]";"[0;0;0;0]";"[50746;57193;60858;73752]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[5;1;5;5;1;15]";2,080241239;MedHiEnt;9;9;5,2;-3,8;443827;0,470588235;"[5;1;6]";"[[1;2;3];[3;3;3];[2;2;2];[4;1;5];[6;1;4];[5;1;1];[5;1;5];[6;6;6];[5;1;6]]";"[0;0;0;1;1;2;2;1;3]";"[1;0;0;1;1;0;0;0;0]";"[4985;11649;15321;22969;39809;66574;77807;95981;108732]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[5;1;15;5;5;1]";2,080241239;MedHiEnt;8;8;5,2;-2,8;248218;0,529411765;"[3;5;5]";"[[3;3;3];[1;1;1];[2;2;2];[4;4;4];[5;5;5];[5;5;3];[5;3;5];[3;5;5]]";"[1;0;0;0;2;1;1;3]";"[0;0;0;0;0;2;2;0]";"[5401;10586;18425;25769;32560;41922;52265;61290]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[6;6;5;5;5;5]";2,579434003;HiEnt;7;7;6,2;-0,8;167298;0,588235294;"[3;6;1]";"[[1;1;1];[2;2;2];[3;3;3];[4;4;4];[5;5;5];[1;3;6];[3;6;1]]";"[1;0;1;0;0;0;3]";"[0;0;0;0;0;3;0]";"[9039;12424;15840;20687;26734;36824;45750]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[4;1;4;1;21;1]";1,617541691;MedLoEnt;4;4;4,8;0,8;63143;0,647058824;"[5;1;5]";"[[5;5;5];[1;1;1];[5;5;1];[5;1;5]]";"[2;1;1;3]";"[0;0;2;0]";"[7104;10984;18903;26152]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[5;5;5;6;5;6]";2,579434003;HiEnt;8;8;6,2;-1,8;292006;0,705882353;"[3;1;6]";"[[1;1;1];[3;3;3];[4;4;4];[6;6;6];[1;3;6];[6;3;1];[1;6;3];[3;1;6]]";"[1;1;0;1;1;0;0;3]";"[0;0;0;0;2;3;3;0]";"[8089;13113;21408;29350;38495;47398;61453;72700]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[6;6;5;5;5;5]";2,579434003;HiEnt;8;8;6,2;-1,8;223017;0,764705882;"[1;3;4]";"[[1;1;1];[2;2;2];[3;3;3];[4;4;4];[4;3;1];[4;1;3];[3;4;1];[1;3;4]]";"[1;0;1;1;1;0;0;3]";"[0;0;0;0;2;3;3;0]";"[5999;9255;15527;21583;27620;34550;48150;60333]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[5;5;15;1;1;5]";2,080241239;MedHiEnt;8;8;5,2;-2,8;250543;0,823529412;"[5;3;3]";"[[3;3;3];[6;6;6];[1;1;1];[2;2;2];[4;4;4];[3;3;5];[3;5;3];[5;3;3]]";"[2;0;0;0;0;1;1;3]";"[0;0;0;0;0;2;2;0]";"[9910;17501;20013;23365;33228;40197;48092;58237]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[1;1;27;1;1;1]";0,98806367;MinEnt;6;6;2,9;-3,1;138786;0,882352941;"[3;1;5]";"[[3;3;3];[1;1;1];[2;2;2];[5;5;5];[1;3;5];[3;1;5]]";"[1;1;0;1;1;3]";"[0;0;0;0;2;0]";"[11518;15102;18502;25358;30629;37677]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[27;1;1;1;1;1]";0,98806367;MinEnt;6;6;2,9;-3,1;99231;0,941176471;"[4;1;3]";"[[1;1;1];[2;2;2];[3;3;3];[4;4;4];[4;3;1];[4;1;3]]";"[1;0;1;1;1;3]";"[0;0;0;0;2;0]";"[5648;9025;12521;17882;23720;30435]";[1]
emap081;2018-03-09T12:00:17.751Z;18;1;0;1;-99;-1;"[5;5;6;5;5;6]";2,579434003;HiEnt;8;8;6,2;-1,8;207209;1;"[3;6;4]";"[[1;1;1];[2;2;2];[3;3;3];[6;6;6];[5;5;5];[3;4;6];[4;3;6];[3;6;4]]";"[0;0;1;1;0;1;0;3]";"[0;0;0;0;0;2;3;0]";"[4601;7746;11337;17634;25066;36313;46472;58040]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[6;5;5;6;5;5]";2,579434003;HiEnt;8;8;6,2;-1,8;495703;0,037037037;"[2;6;1]";"[[1;1;1];[1;2;2];[2;1;1];[3;1;3];[2;3;1];[2;4;1];[2;5;1];[2;6;1]]";"[1;0;2;0;2;2;2;3]";"[0;2;0;1;0;0;0;0]";"[37684;41597;46251;59110;68189;74662;81413;86797]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;21;1;1;4;4]";1,617541691;MedLoEnt;5;5;4,8;-0,2;125828;0,074074074;"[6;2;2]";"[[2;2;2];[2;2;1];[2;3;2];[2;4;1];[6;2;2]]";"[2;1;1;0;3]";"[0;1;1;1;0]";"[8078;14255;18840;29864;54791]";[1]
